context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
4097,4,"(10, 1)",128,16,torch.bfloat16,4,True,24.063299999999977,,27.182812121211974,0,0.1417396211254264,123.8516326530612,0.03140963353358509,57.27532653061228,211%,456%
4097,80,"(10, 1)",128,16,torch.bfloat16,1,True,69.34355102040819,234.62952453608244,58.0278137373738,0,1.318313259657498,37.91376288659797,2.02261909542473,57.20177777777782,99%,65%
4097,80,"(10, 1)",128,16,torch.bfloat16,2,True,101.3867835051547,324.2030660606059,82.0756462626262,0,0.9343222293792361,66.14234736842107,1.1650271405467987,109.05488888888883,133%,81%
4097,80,"(10, 1)",128,16,torch.bfloat16,3,True,153.2507142857143,,82.79458631578959,0,0.928458836856361,96.25304040404043,0.8044437716305174,146.64010309278345,177%,116%
4097,80,"(10, 1)",128,16,torch.bfloat16,4,True,189.73617999999996,,120.59886319718923,0,0.6389581773891932,126.02330927835047,0.617367440427489,694.291163265306,576%,104%
4097,128,"(10, 1)",128,16,torch.bfloat16,1,True,105.46726436781603,380.09113999999977,86.5338254712068,0,1.4144542597043892,63.898979797979834,1.9201583758935166,85.28810752688177,99%,74%
4097,128,"(10, 1)",128,16,torch.bfloat16,2,True,156.32707526881725,531.4772496392499,127.94053832199548,0,0.9590092622663892,129.78608333333335,0.9499647770496359,171.8049200000001,134%,101%
4097,128,"(10, 1)",128,16,torch.bfloat16,3,True,241.9155400000001,,130.2072135632184,0,0.944603460347473,189.5520625,0.653584310989227,232.06577777777767,178%,146%
4097,128,"(10, 1)",128,16,torch.bfloat16,4,True,303.44416161616164,,193.35074882260585,0,0.637660875216019,248.9098453608246,0.5001180264000743,1120.2555151515153,579%,129%
512,4,"(16, 1)",128,16,torch.bfloat16,1,True,14.19472916666666,18.16717319148938,12.27321706864565,0,0.04006596776107015,9.21676842105263,0.05496931868588252,13.9223225806452,113%,75%
512,4,"(16, 1)",128,16,torch.bfloat16,2,True,17.901642105263164,24.286458781361933,15.435149896907177,0,0.032823748649978335,14.15620408163263,0.03789446661584493,16.73127999999998,108%,92%
