context_lengths,batch_size,num_heads,head_size,block_size,data_type,query_length,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
4096,80,"(10, 1)",128,64,torch.bfloat16,2,False,110.16708333333332,296.9228082474226,106.75024408163263,0,0.7181854711612538,,,103.72336363636367,97%,NaN
4096,80,"(10, 1)",128,64,torch.bfloat16,3,False,156.05868686868695,,109.5024825,0,0.7018355849354307,,,138.22966666666662,126%,NaN
4096,80,"(10, 1)",128,64,torch.bfloat16,4,False,186.58578,,119.07335230769226,0,0.6469877758469353,,,651.0302127659575,547%,NaN
4096,128,"(10, 1)",128,64,torch.bfloat16,1,False,128.85040963855417,356.4071000000004,86.89103010101006,0,1.4082965247577894,,,82.43869473684207,95%,NaN
4096,128,"(10, 1)",128,64,torch.bfloat16,2,False,171.41131958762892,477.0094773109247,160.87276323232314,0,0.7625054514082426,,,162.21169999999998,101%,NaN
4096,128,"(10, 1)",128,64,torch.bfloat16,3,False,247.42877999999996,,164.63693422680413,0,0.7468821182143424,,,218.3174489795917,133%,NaN
4096,128,"(10, 1)",128,64,torch.bfloat16,4,False,286.74068686868696,,182.75255999999996,0,0.674477038217729,,,1043.991836734694,571%,NaN
4097,4,"(10, 1)",128,64,torch.bfloat16,1,False,15.622419999999956,23.576498453927016,16.696500000000025,0,0.2290864441018036,,,15.023151515151506,90%,NaN
4097,4,"(10, 1)",128,64,torch.bfloat16,2,False,18.750920000000107,31.312459999999916,25.59647999999998,0,0.14979618446332962,,,17.448265306122508,68%,NaN
4097,4,"(10, 1)",128,64,torch.bfloat16,3,False,21.52968,,25.857700000000058,0,0.14864308370187876,,,20.555232323232218,79%,NaN
